id,project,file,function,func_body,has_mechanism,mechanism_found,notes
48,zulip,zulip/zerver/tests/test_upload.py,test_check_attachment_reference_update,"def test_check_attachment_reference_update(self) -> None:
        f1 = StringIO(""file1"")
        f1.name = ""file1.txt""
        f2 = StringIO(""file2"")
        f2.name = ""file2.txt""
        f3 = StringIO(""file3"")
        f3.name = ""file3.txt""
        hamlet = self.example_user(""hamlet"")
        host = hamlet.realm.host

        self.login_user(hamlet)
        result = self.client_post(""/json/user_uploads"", {""file"": f1})
        response_dict = self.assert_json_success(result)
        f1_path_id = re.sub(""/user_uploads/"", """", response_dict[""uri""])

        result = self.client_post(""/json/user_uploads"", {""file"": f2})
        response_dict = self.assert_json_success(result)
        f2_path_id = re.sub(""/user_uploads/"", """", response_dict[""uri""])

        self.subscribe(hamlet, ""test"")
        body = (
            f""[f1.txt](http://{host}/user_uploads/"" + f1_path_id + "") ""
            f""[f2.txt](http://{host}/user_uploads/"" + f2_path_id + "")""
        )
        msg_id = self.send_stream_message(hamlet, ""test"", body, ""test"")

        result = self.client_post(""/json/user_uploads"", {""file"": f3})
        response_dict = self.assert_json_success(result)
        f3_path_id = re.sub(""/user_uploads/"", """", response_dict[""uri""])

        new_body = (
            f""[f3.txt](http://{host}/user_uploads/"" + f3_path_id + "") ""
            f""[f2.txt](http://{host}/user_uploads/"" + f2_path_id + "")""
        )
        result = self.client_patch(
            ""/json/messages/"" + str(msg_id),
            {
                ""content"": new_body,
            },
        )
        self.assert_json_success(result)

        message = Message.objects.get(id=msg_id)
        f1_attachment = Attachment.objects.get(path_id=f1_path_id)
        f2_attachment = Attachment.objects.get(path_id=f2_path_id)
        f3_attachment = Attachment.objects.get(path_id=f3_path_id)

        self.assertTrue(message not in f1_attachment.messages.all())
        self.assertTrue(message in f2_attachment.messages.all())
        self.assertTrue(message in f3_attachment.messages.all())

        # Delete all the attachments from the message
        new_body = ""(deleted)""
        result = self.client_patch(
            ""/json/messages/"" + str(msg_id),
            {
                ""content"": new_body,
            },
        )
        self.assert_json_success(result)

        message = Message.objects.get(id=msg_id)
        f1_attachment = Attachment.objects.get(path_id=f1_path_id)
        f2_attachment = Attachment.objects.get(path_id=f2_path_id)
        f3_attachment = Attachment.objects.get(path_id=f3_path_id)
        self.assertTrue(message not in f1_attachment.messages.all())
        self.assertTrue(message not in f2_attachment.messages.all())
        self.assertTrue(message not in f3_attachment.messages.all())",N,,
49,external-attention-pytorch,external-attention-pytorch/model/attention/Crossformer.py,forward,"def forward(self, x):
        """"""
        x: B, H*W, C
        """"""
        H, W = self.input_resolution
        B, L, C = x.shape
        assert L == H * W, ""input feature has wrong size""
        assert H % 2 == 0 and W % 2 == 0, f""x size ({H}*{W}) are not even.""

        x = self.norm(x)
        x = x.view(B, H, W, C).permute(0, 3, 1, 2)

        xs = []
        for i in range(len(self.reductions)):
            tmp_x = self.reductions[i](x).flatten(2).transpose(1, 2)
            xs.append(tmp_x)
        x = torch.cat(xs, dim=2)
        return x",N,,
50,saleor,saleor/saleor/discount/tests/test_utils/test_create_or_update_discount_objects_from_sale_for_checkout.py,test_create_fixed_sale,"def test_create_fixed_sale(checkout_lines_info, checkout_info, new_sale):
    # given
    line_info1 = checkout_lines_info[0]
    product_line1 = line_info1.product

    sale = new_sale
    sale.products.add(product_line1)
    discount_info_for_new_sale = generate_discount_info(
        sale, products_pks={product_line1.pk}
    )

    sale_channel_listing = sale.channel_listings.get()
    expected_discount_amount = sale_channel_listing.discount_value

    # when
    create_or_update_discount_objects_from_sale_for_checkout(
        checkout_info, checkout_lines_info, [discount_info_for_new_sale]
    )

    # then
    assert len(line_info1.discounts) == 1
    now = timezone.now()
    discount_from_info = line_info1.discounts[0]
    discount_from_db = line_info1.line.discounts.get()
    assert discount_from_info.line == discount_from_db.line == line_info1.line
    assert discount_from_info.created_at == discount_from_db.created_at == now
    assert discount_from_info.type == discount_from_db.type == DiscountType.SALE
    assert (
        discount_from_info.value_type
        == discount_from_db.value_type
        == DiscountValueType.FIXED
    )
    assert (
        discount_from_info.value
        == discount_from_db.value
        == sale_channel_listing.discount_value
    )
    assert (
        discount_from_info.amount_value
        == discount_from_db.amount_value
        == expected_discount_amount
    )
    assert discount_from_info.currency == discount_from_db.currency == ""USD""
    assert discount_from_info.name == discount_from_db.name == sale.name
    assert (
        discount_from_info.translated_name == discount_from_db.translated_name is None
    )
    assert discount_from_info.reason == discount_from_db.reason is None
    assert discount_from_info.sale == discount_from_db.sale == sale
    assert discount_from_info.voucher == discount_from_db.voucher is None

    for checkout_line_info in checkout_lines_info[1:]:
        assert not checkout_line_info.discounts",N,,
51,localstack,localstack/tests/integration/cloudformation/test_template_engine.py,test_error_pass_macro_as_reference,"def test_error_pass_macro_as_reference(self, snapshot, aws_client):
        """"""
        This test shows that the CFn will reject any transformation name that has been specified as reference, for
        example, a parameter.
        """"""

        with pytest.raises(botocore.exceptions.ClientError) as ex:
            aws_client.cloudformation.create_stack(
                StackName=f""stack-{short_uid()}"",
                TemplateBody=load_file(
                    os.path.join(
                        os.path.dirname(__file__),
                        ""../templates/transformation_macro_as_reference.yml"",
                    )
                ),
                Capabilities=[""CAPABILITY_AUTO_EXPAND""],
                Parameters=[{""ParameterKey"": ""MacroName"", ""ParameterValue"": ""NonExistent""}],
            )
        snapshot.match(""error"", ex.value.response)",N,,
52,faceswap,faceswap/tools/manual/frameviewer/editor/_base.py,_zoomed_dims,"def _zoomed_dims(self):
        """""" tuple: The (`width`, `height`) of the zoomed ROI. """"""
        roi = self._zoomed_roi
        return (roi[2] - roi[0], roi[3] - roi[1])",N,,
53,youcompleteme,youcompleteme/third_party/ycmd/third_party/jedi_deps/numpydoc/numpydoc/tests/test_validate.py,func,"def func(self):

        """"""Some function.

        With several mistakes in the docstring.

        It has a blank like after the signature `def func():`.

        The text 'Some function' should go in the line after the
        opening quotes of the docstring, not in the same line.

        There is a blank line between the docstring and the first line
        of code `foo = 1`.

        The closing quotes should be in the next line, not in this one.""""""

        foo = 1
        bar = 2
        return foo + bar",N,,
54,streamlink,streamlink/src/streamlink/stream/wrappers.py,__init__,"def __init__(self, session, fd, timeout=30):
        self.buffer = RingBuffer(session.get_option(""ringbuffer-size""))
        self.fd = fd
        self.timeout = timeout

        self.filler = StreamIOThreadWrapper.Filler(self.fd, self.buffer)
        self.filler.start()",N,,
55,chalice,chalice/chalice/deploy/deployer.py,handle_deploymentpackage,"def handle_deploymentpackage(self, config, resource):
        # type: (Config, models.DeploymentPackage) -> None
        if isinstance(resource.filename, models.Placeholder):
            zip_filename = self._packager.create_deployment_package(
                config.project_dir, config.lambda_python_version)
            resource.filename = zip_filename",N,,
56,archivebox,archivebox/deb_dist/archivebox-0.5.4/debian/archivebox/usr/lib/python3/dist-packages/archivebox/parsers/generic_html.py,parse_generic_html_export,"def parse_generic_html_export(html_file: IO[str], root_url: Optional[str]=None, **_kwargs) -> Iterable[Link]:
    """"""Parse Generic HTML for href tags and use only the url (support for title coming later)""""""

    html_file.seek(0)
    for line in html_file:
        parser = HrefParser()
        # example line
        # <li><a href=""http://example.com/ time_added=""1478739709"" tags=""tag1,tag2"">example title</a></li>
        parser.feed(line)
        for url in parser.urls:
            if root_url:
                # resolve relative urls /home.html -> https://example.com/home.html
                url = urljoin(root_url, url)
            
            for archivable_url in re.findall(URL_REGEX, url):
                yield Link(
                    url=htmldecode(archivable_url),
                    timestamp=str(datetime.now().timestamp()),
                    title=None,
                    tags=None,
                    sources=[html_file.name],
                )",N,,
57,pandas,pandas/pandas/tests/io/formats/test_format.py,test_to_string_complex_float_formatting,"def test_to_string_complex_float_formatting(self):
        # GH #25514, 25745
        with option_context(""display.precision"", 5):
            df = DataFrame(
                {
                    ""x"": [
                        (0.4467846931321966 + 0.0715185102060818j),
                        (0.2739442392974528 + 0.23515228785438969j),
                        (0.26974928742135185 + 0.3250604054898979j),
                        (-1j),
                    ]
                }
            )
            result = df.to_string()
            expected = (
                ""                  x\n0  0.44678+0.07152j\n""
                ""1  0.27394+0.23515j\n""
                ""2  0.26975+0.32506j\n""
                ""3 -0.00000-1.00000j""
            )
            assert result == expected",N,,
58,transformers,transformers/tests/models/clipseg/test_modeling_clipseg.py,test_equivalence_flax_to_pt,"def test_equivalence_flax_to_pt(self):
        config, inputs_dict = self.model_tester.prepare_config_and_inputs_for_common()

        for model_class in self.all_model_classes:
            with self.subTest(model_class.__name__):
                # load corresponding PyTorch class
                pt_model = model_class(config).eval()

                # So we disable `use_cache` here for PyTorch model.
                pt_model.config.use_cache = False

                fx_model_class_name = ""Flax"" + model_class.__name__

                if not hasattr(transformers, fx_model_class_name):
                    # no flax model exists for this class
                    return

                fx_model_class = getattr(transformers, fx_model_class_name)

                # load Flax class
                fx_model = fx_model_class(config, dtype=jnp.float32)
                # make sure only flax inputs are forward that actually exist in function args
                fx_input_keys = inspect.signature(fx_model.__call__).parameters.keys()

                pt_model = load_flax_weights_in_pytorch_model(pt_model, fx_model.params)

                # make sure weights are tied in PyTorch
                pt_model.tie_weights()

                # prepare inputs
                pt_inputs = self._prepare_for_class(inputs_dict, model_class)

                # remove function args that don't exist in Flax
                pt_inputs = {k: v for k, v in pt_inputs.items() if k in fx_input_keys}

                with torch.no_grad():
                    pt_outputs = pt_model(**pt_inputs).to_tuple()

                fx_inputs = {k: np.array(v) for k, v in pt_inputs.items() if torch.is_tensor(v)}

                fx_outputs = fx_model(**fx_inputs).to_tuple()
                self.assertEqual(len(fx_outputs), len(pt_outputs), ""Output lengths differ between Flax and PyTorch"")

                for fx_output, pt_output in zip(fx_outputs[:4], pt_outputs[:4]):
                    self.assert_almost_equals(fx_output, pt_output.numpy(), 4e-2)

                with tempfile.TemporaryDirectory() as tmpdirname:
                    fx_model.save_pretrained(tmpdirname)
                    pt_model_loaded = model_class.from_pretrained(tmpdirname, from_flax=True)

                with torch.no_grad():
                    pt_outputs_loaded = pt_model_loaded(**pt_inputs).to_tuple()

                self.assertEqual(
                    len(fx_outputs), len(pt_outputs_loaded), ""Output lengths differ between Flax and PyTorch""
                )
                for fx_output, pt_output in zip(fx_outputs[:4], pt_outputs_loaded[:4]):
                    self.assert_almost_equals(fx_output, pt_output.numpy(), 4e-2)",N,,
59,imgaug,imgaug/test/augmentables/test_normalization.py,_norm_and_invert,"def _norm_and_invert(bbs, images):
            return normalization.invert_normalize_bounding_boxes(
                normalization.normalize_bounding_boxes(
                    bbs, shapes=images),
                bbs
            )",N,,
60,mitmproxy,mitmproxy/mitmproxy/flowfilter.py,__call__,"def __call__(self, f):
        return True",N,,
61,awesome-python-login-model,awesome-python-login-model/bilibili/bilibili.py,__init__,"def __init__(self, username, password):
        """"""
        初始化
        """"""
        options = webdriver.ChromeOptions()
        # 设置为开发者模式，避免被识别
        options.add_experimental_option('excludeSwitches',
                                        ['enable-automation'])
        self.browser = webdriver.Chrome(options=options)
        self.url = 'https://passport.bilibili.com/login'
        self.browser.get(self.url)
        self.wait = WebDriverWait(self.browser, 5, 0.2)
        self.username = username
        self.password = password",N,,
62,unilm,unilm/deltalm/fairseq/fairseq/hub_utils.py,binarize,"def binarize(self, sentence: str) -> torch.LongTensor:
        return self.src_dict.encode_line(sentence, add_if_not_exist=False).long()",N,,
